SampleID;Index;OlinkID;UniProt;Assay;MissingFreq;Panel;Panel_Lot_Nr;PlateID;QC_Warning;LOD;NPX;Normalization;Assay_Warning
CONTROL_SAMPLE_P1_A12;12;OID20876;P09211;GSTP1;0.1932;Neurology;B04406;P1;PASS;-4.9488;-4.7732;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20877;P61244;MAX;0.1136;Neurology;B04406;P1;PASS;-5.67;-4.4393;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20878;Q96FQ6;S100A16;0;Neurology;B04406;P1;PASS;-7.1706;-4.806;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20879;O00399;DCTN6;0;Neurology;B04406;P1;PASS;-4.7458;-3.4281;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20880;Q13308;PTK7;0.0227;Neurology;B04406;P1;PASS;-5.7274;-4.959;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20881;P23276;KEL;0;Neurology;B04406;P1;PASS;-4.7624;-1.5833;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20882;Q9UPY6;WASF3;0.2614;Neurology;B04406;P1;PASS;-7.389;-6.4049;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20883;Q8WUW1;BRK1;0;Neurology;B04406;P1;PASS;-5.904;-3.4653;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20884;O95466;FMNL1;0;Neurology;B04406;P1;PASS;-4.9682;-3.5333;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20885;Q9NS71;GKN1;0;Neurology;B04406;P1;PASS;-6.2313;-2.6035;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20886;Q9UJ72;ANXA10;0;Neurology;B04406;P1;PASS;-4.4677;-2.9361;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20887;P30519;HMOX2;0;Neurology;B04406;P1;PASS;-5.3518;-2.839;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20888;Q86Z14;KLB;0;Neurology;B04406;P1;PASS;-7.6434;-3.8702;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20889;Q6UXK2;ISLR2;0;Neurology;B04406;P1;PASS;-4.4501;-2.372;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20890;Q92917;GPKOW;0.1705;Neurology;B04406;P1;PASS;-2.8973;-3.187;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20891;P42892;ECE1;0;Neurology;B04406;P1;WARN;-5.7668;-3.223;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20892;Q9UHV9;PFDN2;0.7045;Neurology;B04406;P1;PASS;-4.628;-5.0385;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20893;Q92851;CASP10;0.1705;Neurology;B04406;P1;PASS;-6.4442;-4.4299;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20894;Q9NQ88;TIGAR;0.1705;Neurology;B04406;P1;PASS;-5.2757;-4.4615;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20895;Q96B36;AKT1S1;0;Neurology;B04406;P1;PASS;-5.7019;-3.6893;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20896;O95994;AGR2;0;Neurology;B04406;P1;PASS;-10.4333;-5.8011;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20897;P16444;DPEP1;0;Neurology;B04406;P1;PASS;-4.9898;1.0827;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20899;Q9Y4K4;MAP4K5;0;Neurology;B04406;P1;PASS;-4.6029;-1.2674;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20900;O95256;IL18RAP;0;Neurology;B04406;P1;PASS;-3.8365;1.3466;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20901;P52943;CRIP2;0;Neurology;B04406;P1;PASS;-3.4366;-0.5084;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20902;P63098;PPP3R1;0;Neurology;B04406;P1;PASS;-3.7841;-0.9287;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20903;P14868;DARS1;0;Neurology;B04406;P1;PASS;-4.9146;-2.6447;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20904;Q9Y6D9;MAD1L1;0;Neurology;B04406;P1;PASS;-3.6133;-0.2011;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20905;O14944;EREG;0;Neurology;B04406;P1;PASS;-2.9699;-0.7797;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20906;Q86WV1;SKAP1;0;Neurology;B04406;P1;PASS;-4.5321;-0.5779;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20907;P29218;IMPA1;0.2955;Neurology;B04406;P1;PASS;-2.2801;-1.9515;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20908;P18031;PTPN1;0;Neurology;B04406;P1;PASS;-4.2128;-1.2796;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20909;P36269;GGT5;0;Neurology;B04406;P1;PASS;-5.6842;-0.9368;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20910;Q16740;CLPP;0.0114;Neurology;B04406;P1;PASS;-2.3479;-1.8753;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20911;P05231;IL6;0;Neurology;B04406;P1;PASS;-5.7567;-2.1714;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20912;Q92932;PTPRN2;0;Neurology;B04406;P1;PASS;-5.2265;0.3447;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20913;Q9HAN9;NMNAT1;0;Neurology;B04406;P1;PASS;-2.7789;-1.2441;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20914;O95727;CRTAM;0;Neurology;B04406;P1;PASS;-4.2082;0.9271;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20915;P15509;CSF2RA;0;Neurology;B04406;P1;PASS;-3.7481;0.3213;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20916;P11464;PSG1;0;Neurology;B04406;P1;PASS;-2.9877;1.1486;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20917;Q8NBI3;DRAXIN;0;Neurology;B04406;P1;PASS;-4.1146;0.0733;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20918;O00559;EBAG9;0;Neurology;B04406;P1;PASS;-3.3655;-2.0113;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20919;Q9BZM5;ULBP2;0;Neurology;B04406;P1;PASS;-3.7804;-0.7608;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20920;P01138;NGF;0.7386;Neurology;B04406;P1;PASS;-0.193;-0.4748;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20921;Q96IU4;ABHD14B;0;Neurology;B04406;P1;PASS;-5.4155;-2.3575;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20922;Q8TCT1;PHOSPHO1;0;Neurology;B04406;P1;PASS;-3.0859;-0.048;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20923;P78560;CRADD;0;Neurology;B04406;P1;WARN;-6.5907;-2.635;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20924;Q08629;SPOCK1;0;Neurology;B04406;P1;PASS;-3.0426;0.0836;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20925;P09466;PAEP;0;Neurology;B04406;P1;WARN;-4.3579;-0.6611;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20926;O00308;WWP2;0;Neurology;B04406;P1;PASS;-4.9758;-0.093;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20927;P07741;APRT;0;Neurology;B04406;P1;PASS;-4.6809;-1.4088;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20928;Q8IUN9;CLEC10A;0;Neurology;B04406;P1;PASS;-4.7747;-0.5503;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20930;Q9HD42;CHMP1A;0.0455;Neurology;B04406;P1;PASS;-3.6604;-2.837;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20931;Q02083;NAAA;0;Neurology;B04406;P1;PASS;-6.0279;-0.883;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20932;P50453;SERPINB9;0;Neurology;B04406;P1;WARN;-3.7212;-0.6839;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20933;O60609;GFRA3;0;Neurology;B04406;P1;PASS;-4.1572;0.8189;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20934;Q9UBT3;DKK4;0;Neurology;B04406;P1;PASS;-6.1261;-1.129;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20935;P52798;EFNA4;0;Neurology;B04406;P1;PASS;-5.1703;0.4366;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20936;Q2TAL6;VWC2;0;Neurology;B04406;P1;PASS;-4.1788;0.3702;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20937;Q13451;FKBP5;0;Neurology;B04406;P1;PASS;-4.6814;-2.2031;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20938;Q2MKA7;RSPO1;0;Neurology;B04406;P1;PASS;-4.1069;-0.5321;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20939;Q96NZ8;WFIKKN1;0;Neurology;B04406;P1;PASS;-3.7128;0.3955;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20940;Q9H5V8;CDCP1;0;Neurology;B04406;P1;PASS;-2.7183;-0.1784;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20941;P38484;IFNGR2;0;Neurology;B04406;P1;PASS;-3.3077;1.0509;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20942;Q15814;TBCC;0;Neurology;B04406;P1;PASS;-4.5995;-1.3008;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20943;Q14108;SCARB2;0;Neurology;B04406;P1;PASS;-5.6362;0.4707;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20944;P78333;GPC5;0;Neurology;B04406;P1;PASS;-5.7149;-0.4867;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20945;Q9Y6Y9;LY96;0;Neurology;B04406;P1;PASS;-3.6084;-1.2896;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20946;O43155;FLRT2;0;Neurology;B04406;P1;PASS;-4.0005;-0.1538;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20947;Q9H3S3;TMPRSS5;0;Neurology;B04406;P1;PASS;-4.6355;0.4215;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20948;Q53H47;SETMAR;0;Neurology;B04406;P1;PASS;-3.9453;1.5969;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20949;P16278;GLB1;0;Neurology;B04406;P1;PASS;-2.146;-0.996;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20950;P08134;RHOC;0;Neurology;B04406;P1;PASS;-5.6372;-0.6706;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20951;Q8NFP4;MDGA1;0;Neurology;B04406;P1;WARN;-6.3444;0.9953;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20952;P40222;TXLNA;0;Neurology;B04406;P1;PASS;-4.9543;-2.4616;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20953;O43557;TNFSF14;0;Neurology;B04406;P1;PASS;-5.8692;-0.8263;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20954;P48740;MASP1;0;Neurology;B04406;P1;PASS;-2.2864;-0.4363;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20955;O95630;STAMBP;0;Neurology;B04406;P1;PASS;-3.9134;0.044;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20956;Q6XZF7;DNMBP;0;Neurology;B04406;P1;PASS;-4.5576;-0.2345;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20957;Q92752;TNR;0;Neurology;B04406;P1;PASS;-5.4171;-1.35;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20958;Q6P1N0;CC2D1A;0;Neurology;B04406;P1;PASS;-5.1471;-1.974;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20959;Q8WV92;MITD1;0;Neurology;B04406;P1;PASS;-4.08;-1.5475;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20960;Q02790;FKBP4;0;Neurology;B04406;P1;WARN;-4.8411;-1.0184;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20961;P06748;NPM1;0;Neurology;B04406;P1;PASS;-3.098;-0.5829;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20962;Q06830;PRDX1;0;Neurology;B04406;P1;PASS;-3.4769;-1.151;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20963;P22079;LPO;0;Neurology;B04406;P1;PASS;-5.3144;0.153;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20964;O95407;TNFRSF6B;0;Neurology;B04406;P1;PASS;-4.9055;0.5796;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20965;Q6ISS4;LAIR2;0;Neurology;B04406;P1;PASS;-4.6595;0.0805;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20966;Q9NZQ7;CD274;0;Neurology;B04406;P1;PASS;-6.3221;-0.0327;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20967;O00220;TNFRSF10A;0;Neurology;B04406;P1;PASS;-5.1473;-0.5111;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20968;Q92765;FRZB;0;Neurology;B04406;P1;PASS;-4.5436;2.2607;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20969;Q06323;PSME1;0;Neurology;B04406;P1;PASS;-5.639;-0.1028;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20970;Q6UX15;LAYN;0;Neurology;B04406;P1;PASS;-4.8595;0.4421;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20971;O76070;SNCG;0;Neurology;B04406;P1;PASS;-4.2058;0.1354;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20972;O95817;BAG3;0;Neurology;B04406;P1;PASS;-7.5655;0.2012;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20973;O14618;CCS;0;Neurology;B04406;P1;WARN;-6.6085;-2.5908;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20974;O60242;ADGRB3;0;Neurology;B04406;P1;PASS;-5.1537;1.5705;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20975;P50135;HNMT;0;Neurology;B04406;P1;PASS;-5.2385;0.5725;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20976;P78423;CX3CL1;0;Neurology;B04406;P1;PASS;-5.5563;-1.3597;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20977;Q8WWN9;IPCEF1;0;Neurology;B04406;P1;PASS;-5.6364;-0.512;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20978;P02771;AFP;0;Neurology;B04406;P1;PASS;-5.4416;0.4559;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20979;O15232;MATN3;0;Neurology;B04406;P1;PASS;-5.8083;1.2029;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20980;Q9NPH6;OBP2B;0;Neurology;B04406;P1;PASS;-6.901;0.8676;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20981;O14763;TNFRSF10B;0;Neurology;B04406;P1;PASS;-5.4652;-0.7165;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20982;O15197;EPHB6;0;Neurology;B04406;P1;PASS;-5.1474;-0.5134;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20983;P01258;CALCA;0;Neurology;B04406;P1;PASS;-6.0084;0.9402;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20984;Q8N474;SFRP1;0;Neurology;B04406;P1;PASS;-5.2425;0.6389;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20985;Q07011;TNFRSF9;0;Neurology;B04406;P1;PASS;-5.0805;-0.1644;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20986;Q9H477;RBKS;0;Neurology;B04406;P1;PASS;-6.7125;1.2803;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20987;P56279;TCL1A;0;Neurology;B04406;P1;PASS;-4.176;0.1875;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20988;P08962;CD63;0;Neurology;B04406;P1;PASS;-6.596;-0.4738;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20989;Q9UL46;PSME2;0;Neurology;B04406;P1;PASS;-5.6777;-0.5438;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20990;P07306;ASGR1;0;Neurology;B04406;P1;PASS;-5.002;0.1547;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20992;Q9BYC5;FUT8;0;Neurology;B04406;P1;PASS;-3.2194;0.373;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20993;Q99426;TBCB;0;Neurology;B04406;P1;PASS;-4.2694;-2.9282;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20994;P12644;BMP4;0;Neurology;B04406;P1;PASS;-6.1843;0.1129;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20995;P28325;CST5;0;Neurology;B04406;P1;PASS;-10.0281;-0.0432;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20996;Q9NR71;ASAH2;0;Neurology;B04406;P1;PASS;-6.4247;0.2751;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20997;P10145;CXCL8;0;Neurology;B04406;P1;PASS;-6.3949;-0.4386;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20998;Q96GW7;BCAN;0;Neurology;B04406;P1;PASS;-6.321;-0.9235;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20999;P37023;ACVRL1;0;Neurology;B04406;P1;PASS;-8.1288;-0.902;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21000;P23588;EIF4B;0;Neurology;B04406;P1;PASS;-6.4152;-4.1952;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21001;Q9P0K1;ADAM22;0;Neurology;B04406;P1;PASS;-6.79;-0.1667;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21002;O15496;PLA2G10;0;Neurology;B04406;P1;PASS;-8.6844;-0.8884;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21003;Q9BS40;LXN;0;Neurology;B04406;P1;PASS;-6.2046;-3.242;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21004;P13500;CCL2;0;Neurology;B04406;P1;PASS;-9.7162;-0.9401;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21005;P55291;CDH15;0;Neurology;B04406;P1;PASS;-8.4461;-4.1037;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21006;O94779;CNTN5;0;Neurology;B04406;P1;PASS;-7.3806;-3.044;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21007;Q9HCK4;ROBO2;0;Neurology;B04406;P1;PASS;-7.5594;-4.1823;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21008;P22223;CDH3;0;Neurology;B04406;P1;PASS;-6.2899;-3.4156;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21009;Q08345;DDR1;0;Neurology;B04406;P1;PASS;-6.7526;-2.99;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21010;Q08708;CD300C;0;Neurology;B04406;P1;PASS;-6.8385;-2.1104;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21011;P15151;PVR;0;Neurology;B04406;P1;PASS;-8.9093;-2.4236;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21012;Q8NBS9;TXNDC5;0;Neurology;B04406;P1;PASS;-7.6075;-5.6232;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21013;P21217_Q11128;FUT3_FUT5;0;Neurology;B04406;P1;PASS;-8.4107;-1.5704;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21014;P52823;STC1;0;Neurology;B04406;P1;PASS;-7.3067;-4.2441;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21015;Q9H446;RWDD1;0;Neurology;B04406;P1;PASS;-7.5897;-5.4474;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21016;Q9NP79;VTA1;0;Neurology;B04406;P1;PASS;-7.9012;-3.8053;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21017;P15311;EZR;0;Neurology;B04406;P1;WARN;-4.9628;-3.1106;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21018;P01732;CD8A;0;Neurology;B04406;P1;PASS;-10.3096;-2.582;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21019;P22894;MMP8;0;Neurology;B04406;P1;PASS;-6.5719;-2.75;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21020;Q92854;SEMA4D;0;Neurology;B04406;P1;PASS;-7.1618;-3.7432;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21021;O14737;PDCD5;0;Neurology;B04406;P1;PASS;-8.4909;-5.6646;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21022;Q9UNZ2;NSFL1C;0;Neurology;B04406;P1;PASS;-8.557;-6.095;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21023;P35237;SERPINB6;0;Neurology;B04406;P1;PASS;-6.506;-2.9035;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21024;O43927;CXCL13;0;Neurology;B04406;P1;PASS;-7.0295;-3.6574;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21025;P28906;CD34;0;Neurology;B04406;P1;PASS;-9.055;-2.8276;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21026;P13611;VCAN;0;Neurology;B04406;P1;WARN;-6.3814;-2.3682;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21027;Q96CD2;PPCDC;0;Neurology;B04406;P1;PASS;-7.8097;-3.4773;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21028;P17405;SMPD1;0;Neurology;B04406;P1;PASS;-8.8152;-3.4945;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21029;Q10589;BST2;0;Neurology;B04406;P1;PASS;-7.1068;-3.5694;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21030;Q99731;CCL19;0;Neurology;B04406;P1;PASS;-7.6637;-2.598;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21031;P50225;SULT1A1;0.0341;Neurology;B04406;P1;PASS;-6.6761;-5.4561;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21032;Q8NBJ7;SUMF2;0;Neurology;B04406;P1;PASS;-5.5915;-2.4853;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21033;P01236;PRL;0;Neurology;B04406;P1;PASS;-9.5888;-2.3254;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21034;Q14739;LBR;0;Neurology;B04406;P1;PASS;-6.4878;-4.3259;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21035;P13473;LAMP2;0;Neurology;B04406;P1;PASS;-7.6004;-1.9234;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21036;P12429;ANXA3;0;Neurology;B04406;P1;PASS;-6.0962;-1.6382;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21037;P06733;ENO1;0;Neurology;B04406;P1;PASS;-8.2362;-4.4933;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21038;P05060;CHGB;0;Neurology;B04406;P1;PASS;-10.0467;-4.8336;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21039;P78325;ADAM8;0;Neurology;B04406;P1;PASS;-8.5753;-2.9246;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21040;P04233;CD74;0;Neurology;B04406;P1;PASS;-7.5862;-3.6525;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21041;O00214;LGALS8;0;Neurology;B04406;P1;PASS;-9.1489;-3.7744;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21042;O14625;CXCL11;0;Neurology;B04406;P1;PASS;-7.6387;-3.6617;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21043;Q01469;FABP5;0;Neurology;B04406;P1;PASS;-5.5784;-2.6816;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21044;Q6P4E1;GOLM2;0;Neurology;B04406;P1;PASS;-9.3209;-4.1524;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21045;Q6NW40;RGMB;0;Neurology;B04406;P1;PASS;-7.543;-3.0772;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21046;P09104;ENO2;0;Neurology;B04406;P1;WARN;-8.1345;-4.2498;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21047;P01178;OXT;0;Neurology;B04406;P1;PASS;-8.3122;-1.4485;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21048;Q96GP6;SCARF2;0;Neurology;B04406;P1;PASS;-7.7353;-3.7544;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21049;P28908;TNFRSF8;0;Neurology;B04406;P1;PASS;-8.0472;-1.9296;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21050;P04216;THY1;0;Neurology;B04406;P1;PASS;-7.7286;-0.9346;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21051;Q10588;BST1;0;Neurology;B04406;P1;PASS;-7.3757;-2.629;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21052;O75509;TNFRSF21;0;Neurology;B04406;P1;PASS;-11.0822;-3.762;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21053;Q9BRF8;CPPED1;0;Neurology;B04406;P1;PASS;-5.3042;-1.5702;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21054;P14384;CPM;0;Neurology;B04406;P1;PASS;-5.9073;-0.5253;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21055;O14594;NCAN;0;Neurology;B04406;P1;PASS;-7.4088;-1.8878;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21056;P25774;CTSS;0;Neurology;B04406;P1;PASS;-12.151;-1.7777;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21057;Q16288;NTRK3;0;Neurology;B04406;P1;PASS;-9.0835;-3.8524;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21058;Q6ZMJ2;SCARA5;0;Neurology;B04406;P1;PASS;-9.965;-4.657;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21059;P30533;LRPAP1;0;Neurology;B04406;P1;PASS;-8.7257;-4.1158;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21060;P48052;CPA2;0;Neurology;B04406;P1;PASS;-10.0448;-2.5719;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID21061;Q9P126;CLEC1B;0;Neurology;B04406;P1;PASS;-9.8588;-5.4702;Plate control;PASS
